epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,737.549,1.63861,0.7682,0.89482,0.41054,0.37243,0.34185,0.15709,2.15754,2.56727,1.0406,0.037955,0.037955,0.037955
75,747.428,1.60942,0.76466,0.89116,0.4339,0.37394,0.36233,0.16601,2.20246,2.47261,1.03913,0.03779,0.03779,0.03779
76,757.491,1.61758,0.75692,0.89542,0.49011,0.37442,0.35136,0.15999,2.11454,2.46977,1.01869,0.037625,0.037625,0.037625
77,767.472,1.58608,0.74215,0.89423,0.40927,0.39763,0.36822,0.14278,2.26681,2.41413,1.05791,0.03746,0.03746,0.03746
78,777.401,1.64313,0.76463,0.89372,0.43962,0.39033,0.35824,0.15419,2.21848,2.55826,1.04473,0.037295,0.037295,0.037295
79,787.224,1.62234,0.74071,0.89559,0.42454,0.40996,0.36248,0.16994,2.15324,2.41728,1.02214,0.03713,0.03713,0.03713
80,797.048,1.59762,0.75261,0.90119,0.40207,0.32536,0.28948,0.14068,2.17727,2.72423,1.03044,0.036965,0.036965,0.036965
81,806.985,1.60074,0.73071,0.88214,0.38266,0.38499,0.34647,0.15248,2.16942,2.61622,1.02367,0.0368,0.0368,0.0368
82,816.798,1.58594,0.73501,0.88369,0.39558,0.35426,0.33923,0.15464,2.11984,2.62113,1.01292,0.036635,0.036635,0.036635
83,826.76,1.60305,0.7337,0.89833,0.49059,0.35064,0.34055,0.15183,2.15959,2.53344,1.03495,0.03647,0.03647,0.03647
84,836.783,1.59916,0.73411,0.88264,0.42463,0.39543,0.37302,0.17195,2.13434,2.45183,1.01716,0.036305,0.036305,0.036305
85,846.722,1.60107,0.73773,0.88586,0.5166,0.31012,0.32369,0.13798,2.22438,2.86917,1.03635,0.03614,0.03614,0.03614
86,856.564,1.56777,0.7277,0.8792,0.44601,0.36809,0.36561,0.15394,2.18884,2.46369,1.02087,0.035975,0.035975,0.035975
87,866.437,1.552,0.72483,0.88403,0.58557,0.35544,0.39174,0.18862,2.1134,2.56527,1.01902,0.03581,0.03581,0.03581
88,876.371,1.56672,0.72141,0.88804,0.51332,0.38217,0.38809,0.17643,2.14337,2.38743,1.0278,0.035645,0.035645,0.035645
89,886.331,1.5606,0.71781,0.8824,0.45579,0.3956,0.36148,0.1496,2.15637,2.67506,1.03333,0.03548,0.03548,0.03548
90,896.248,1.55059,0.71509,0.89009,0.42064,0.36326,0.32098,0.14291,2.11416,2.77432,1.01599,0.035315,0.035315,0.035315
91,906.074,1.55466,0.72449,0.88324,0.46158,0.3542,0.33833,0.14319,2.2045,2.66342,1.03818,0.03515,0.03515,0.03515
92,915.872,1.5836,0.71602,0.87935,0.53822,0.30573,0.33241,0.13029,2.1177,2.87366,1.01091,0.034985,0.034985,0.034985
93,925.673,1.55039,0.70147,0.8786,0.42319,0.35805,0.32726,0.14396,2.15598,2.63369,1.02011,0.03482,0.03482,0.03482
94,935.701,1.55537,0.70663,0.88719,0.49463,0.37367,0.38377,0.17159,2.11158,2.35532,1.01125,0.034655,0.034655,0.034655
95,945.687,1.5302,0.70543,0.88366,0.43616,0.35151,0.33844,0.14809,2.12694,2.93944,1.01881,0.03449,0.03449,0.03449
96,955.561,1.53995,0.70686,0.88453,0.531,0.34741,0.37762,0.15938,2.14693,2.54689,1.01601,0.034325,0.034325,0.034325
97,965.729,1.51603,0.69861,0.87858,0.43895,0.34127,0.33309,0.15122,2.08088,2.66602,1.00573,0.03416,0.03416,0.03416
98,975.621,1.50997,0.68911,0.87618,0.40756,0.3356,0.31689,0.13701,2.20052,2.80216,1.04286,0.033995,0.033995,0.033995
99,985.425,1.5135,0.69691,0.88055,0.52957,0.34223,0.33606,0.15677,2.13743,2.77793,1.02352,0.03383,0.03383,0.03383
100,995.275,1.5411,0.69955,0.87455,0.54618,0.32906,0.33651,0.1557,2.14992,2.76536,1.01821,0.033665,0.033665,0.033665
101,1005.08,1.50549,0.69076,0.87794,0.44452,0.36534,0.3478,0.14754,2.19988,2.61638,1.03395,0.0335,0.0335,0.0335
102,1015.01,1.50666,0.68427,0.87703,0.45505,0.31019,0.30501,0.13263,2.1707,2.90435,1.03463,0.033335,0.033335,0.033335
103,1024.82,1.49829,0.68591,0.86964,0.45514,0.39829,0.36073,0.15782,2.10767,2.5127,1.00854,0.03317,0.03317,0.03317
104,1034.87,1.48553,0.68987,0.87375,0.38424,0.39674,0.35656,0.16083,2.19216,2.60052,1.03409,0.033005,0.033005,0.033005
105,1044.6,1.52028,0.68861,0.87644,0.37534,0.35088,0.30161,0.13325,2.19356,2.84056,1.03568,0.03284,0.03284,0.03284
106,1054.32,1.51154,0.69341,0.875,0.50702,0.32775,0.33284,0.14633,2.15692,2.80662,1.02651,0.032675,0.032675,0.032675
107,1064.1,1.50013,0.6724,0.87045,0.47097,0.39101,0.35861,0.15628,2.18319,2.50135,1.03057,0.03251,0.03251,0.03251
108,1073.84,1.49985,0.67559,0.87437,0.43505,0.39392,0.38224,0.16092,2.15267,2.46668,1.03277,0.032345,0.032345,0.032345
109,1083.64,1.50381,0.68797,0.87844,0.48989,0.41022,0.3904,0.16322,2.15982,2.38282,1.0317,0.03218,0.03218,0.03218
110,1093.36,1.51311,0.68355,0.8745,0.46053,0.37122,0.34875,0.14815,2.15035,2.5987,1.02135,0.032015,0.032015,0.032015
111,1103.22,1.49328,0.67356,0.87165,0.45315,0.37083,0.36167,0.15646,2.14141,2.44012,1.02422,0.03185,0.03185,0.03185
112,1112.93,1.48153,0.66826,0.87151,0.46521,0.31643,0.32297,0.15129,2.15629,2.65844,1.028,0.031685,0.031685,0.031685
113,1122.67,1.48008,0.67079,0.87594,0.43998,0.36164,0.3502,0.15361,2.1913,2.66173,1.02902,0.03152,0.03152,0.03152
114,1132.48,1.44183,0.64967,0.87191,0.5223,0.33175,0.33979,0.14847,2.13391,2.6758,1.02051,0.031355,0.031355,0.031355
115,1142.1,1.47498,0.65974,0.86481,0.42223,0.40031,0.3336,0.15326,2.07081,2.52593,1.01105,0.03119,0.03119,0.03119
116,1151.92,1.45236,0.65646,0.87022,0.48037,0.37571,0.3835,0.15826,2.15914,2.52568,1.02581,0.031025,0.031025,0.031025
117,1161.58,1.47497,0.65761,0.86625,0.45814,0.36381,0.34387,0.13557,2.21352,2.72325,1.03121,0.03086,0.03086,0.03086
118,1171.44,1.4448,0.65689,0.86088,0.51945,0.3436,0.3574,0.15162,2.18159,2.55076,1.02782,0.030695,0.030695,0.030695
119,1181.23,1.46186,0.66075,0.86561,0.41518,0.36696,0.32154,0.13338,2.2255,2.7098,1.0442,0.03053,0.03053,0.03053
120,1190.99,1.4865,0.66978,0.8622,0.39901,0.36011,0.33671,0.15146,2.11948,2.64099,1.01634,0.030365,0.030365,0.030365
121,1200.77,1.45334,0.66007,0.86674,0.40465,0.37793,0.32899,0.13584,2.18054,2.89553,1.02679,0.0302,0.0302,0.0302
122,1210.44,1.44625,0.65573,0.86294,0.49778,0.34868,0.35446,0.16066,2.10472,2.67754,1.01922,0.030035,0.030035,0.030035
123,1220.2,1.42003,0.64022,0.86209,0.45666,0.37484,0.34231,0.16352,2.06967,2.61173,1.01299,0.02987,0.02987,0.02987
124,1229.91,1.42905,0.64634,0.8693,0.43038,0.36501,0.32784,0.14346,2.11636,2.84755,1.02268,0.029705,0.029705,0.029705
125,1239.99,1.42512,0.64154,0.864,0.43432,0.32692,0.30008,0.13212,2.09539,2.92826,1.02674,0.02954,0.02954,0.02954
126,1249.65,1.43668,0.64255,0.86879,0.44719,0.37514,0.36188,0.15489,2.12625,2.51432,1.02004,0.029375,0.029375,0.029375
127,1259.3,1.40949,0.63941,0.86013,0.53439,0.35389,0.35774,0.14539,2.1581,2.68555,1.02436,0.02921,0.02921,0.02921
128,1268.98,1.41857,0.64167,0.85875,0.41282,0.33169,0.31042,0.14375,2.10497,2.78445,1.01268,0.029045,0.029045,0.029045
129,1278.66,1.4008,0.6353,0.85992,0.41668,0.41059,0.35294,0.16717,2.05532,2.56347,1.00604,0.02888,0.02888,0.02888
130,1288.43,1.43223,0.648,0.8614,0.48269,0.34578,0.34945,0.15822,2.10043,2.70943,1.02575,0.028715,0.028715,0.028715
131,1298.15,1.41664,0.63316,0.86587,0.37469,0.35492,0.29798,0.13775,2.17159,2.88078,1.03579,0.02855,0.02855,0.02855
132,1307.97,1.43181,0.64,0.85685,0.38452,0.39551,0.33608,0.14428,2.15837,2.80381,1.02276,0.028385,0.028385,0.028385
133,1317.61,1.43276,0.63843,0.85466,0.45989,0.36092,0.32879,0.15656,2.06779,2.57682,1.00307,0.02822,0.02822,0.02822
134,1327.36,1.3958,0.62659,0.85281,0.4735,0.36285,0.34788,0.16093,2.12512,2.60663,1.02687,0.028055,0.028055,0.028055
135,1337.04,1.37863,0.61988,0.85688,0.53266,0.31332,0.32608,0.14402,2.14604,2.82967,1.02022,0.02789,0.02789,0.02789
136,1346.95,1.39012,0.6226,0.85887,0.40598,0.36874,0.32675,0.14932,2.12922,2.72695,1.02294,0.027725,0.027725,0.027725
137,1356.92,1.41152,0.63681,0.85775,0.47825,0.33157,0.31916,0.14892,2.13553,2.61145,1.01883,0.02756,0.02756,0.02756
138,1366.84,1.39962,0.62231,0.85965,0.41815,0.37637,0.33528,0.13938,2.17655,2.55145,1.03248,0.027395,0.027395,0.027395
139,1376.59,1.38535,0.61886,0.85756,0.4283,0.35094,0.30509,0.13112,2.20861,2.76735,1.04162,0.02723,0.02723,0.02723
140,1386.35,1.3967,0.6324,0.85032,0.42687,0.38017,0.3554,0.15299,2.17217,2.54746,1.02192,0.027065,0.027065,0.027065
141,1396.18,1.37425,0.61899,0.84972,0.46928,0.31619,0.30899,0.14167,2.14559,2.84876,1.02388,0.0269,0.0269,0.0269
142,1405.9,1.43205,0.63604,0.85825,0.43705,0.32554,0.30514,0.14253,2.13364,2.90092,1.02903,0.026735,0.026735,0.026735
143,1415.56,1.36737,0.61732,0.85353,0.47039,0.3658,0.34283,0.15421,2.09841,2.71415,1.01935,0.02657,0.02657,0.02657
144,1425.46,1.37437,0.61267,0.85621,0.36102,0.40525,0.34202,0.14763,2.10817,2.71028,1.01373,0.026405,0.026405,0.026405
145,1435.35,1.36764,0.61812,0.85106,0.46641,0.34369,0.33315,0.13508,2.18915,2.66602,1.02408,0.02624,0.02624,0.02624
146,1445.14,1.35345,0.6083,0.85023,0.55621,0.3073,0.34233,0.14615,2.16205,2.64479,1.0306,0.026075,0.026075,0.026075
147,1455.01,1.36424,0.61594,0.85562,0.45572,0.34736,0.33023,0.13064,2.20815,2.73931,1.038,0.02591,0.02591,0.02591
148,1464.89,1.35474,0.60354,0.84481,0.46115,0.34606,0.32184,0.13588,2.1833,2.83126,1.03629,0.025745,0.025745,0.025745
149,1474.72,1.36645,0.60048,0.84891,0.51957,0.32969,0.3293,0.15157,2.14362,2.84113,1.02738,0.02558,0.02558,0.02558
150,1484.4,1.35448,0.60082,0.85274,0.4448,0.36405,0.31478,0.12464,2.14408,2.74828,1.02005,0.025415,0.025415,0.025415
151,1494.25,1.34064,0.60041,0.84889,0.41986,0.32939,0.3188,0.13303,2.18496,2.78294,1.02393,0.02525,0.02525,0.02525
152,1504.01,1.35048,0.61141,0.85302,0.4768,0.35364,0.34072,0.15024,2.18455,2.67833,1.03506,0.025085,0.025085,0.025085
153,1513.74,1.33676,0.59843,0.84848,0.43998,0.31291,0.28049,0.12558,2.15411,2.978,1.02445,0.02492,0.02492,0.02492
154,1523.52,1.34253,0.60643,0.85491,0.4409,0.37321,0.3253,0.1402,2.16491,2.79581,1.01982,0.024755,0.024755,0.024755
155,1533.33,1.36409,0.60401,0.85406,0.38155,0.35214,0.30246,0.13802,2.15753,2.96117,1.0146,0.02459,0.02459,0.02459
156,1543.13,1.31655,0.58591,0.84501,0.41658,0.35059,0.33054,0.15196,2.13156,2.66914,1.02063,0.024425,0.024425,0.024425
157,1553.04,1.3192,0.59359,0.8483,0.39421,0.36245,0.30595,0.14255,2.16676,2.80925,1.02505,0.02426,0.02426,0.02426
158,1562.99,1.29501,0.57442,0.84806,0.4237,0.38273,0.32154,0.13513,2.16985,2.66092,1.02051,0.024095,0.024095,0.024095
159,1572.9,1.337,0.58859,0.8542,0.38635,0.39672,0.33073,0.13691,2.1899,2.61367,1.02438,0.02393,0.02393,0.02393
160,1582.76,1.32455,0.59221,0.85361,0.51426,0.31217,0.34525,0.13528,2.22311,2.67608,1.03065,0.023765,0.023765,0.023765
161,1592.65,1.2993,0.58578,0.84618,0.50816,0.31899,0.33531,0.13383,2.20503,2.76116,1.02534,0.0236,0.0236,0.0236
162,1602.55,1.32446,0.58998,0.84251,0.44568,0.34674,0.31523,0.12386,2.18871,2.8537,1.02236,0.023435,0.023435,0.023435
163,1612.42,1.31813,0.57975,0.85118,0.46762,0.35156,0.30179,0.11823,2.22194,2.87325,1.03243,0.02327,0.02327,0.02327
164,1622.23,1.30509,0.5901,0.8434,0.48719,0.36284,0.3427,0.1317,2.20729,2.71658,1.02862,0.023105,0.023105,0.023105
165,1632.17,1.31781,0.58508,0.83897,0.42203,0.37794,0.33338,0.13327,2.19098,2.78239,1.02367,0.02294,0.02294,0.02294
166,1642.05,1.31374,0.57958,0.84478,0.40069,0.39213,0.31559,0.13357,2.1419,2.87565,1.01544,0.022775,0.022775,0.022775
167,1652,1.30718,0.58129,0.8453,0.41432,0.39033,0.32557,0.13878,2.14879,2.75114,1.01684,0.02261,0.02261,0.02261
168,1661.85,1.31048,0.5808,0.84322,0.46944,0.35733,0.3431,0.15248,2.13115,2.60233,1.0159,0.022445,0.022445,0.022445
169,1671.79,1.30799,0.58313,0.83761,0.53654,0.34295,0.36106,0.15703,2.15071,2.60273,1.01191,0.02228,0.02228,0.02228
170,1681.77,1.304,0.58772,0.83854,0.56403,0.3296,0.35788,0.15266,2.13422,2.50654,1.00899,0.022115,0.022115,0.022115
171,1691.52,1.27973,0.57517,0.84396,0.41189,0.36767,0.31644,0.13792,2.1295,2.82698,1.00258,0.02195,0.02195,0.02195
172,1701.55,1.29086,0.56858,0.84072,0.44614,0.37688,0.33323,0.1435,2.13454,2.63294,1.00347,0.021785,0.021785,0.021785
173,1711.27,1.28688,0.57719,0.83525,0.39467,0.37963,0.33919,0.15133,2.1268,2.64218,1.00698,0.02162,0.02162,0.02162
174,1721.12,1.29485,0.57255,0.83825,0.47527,0.33173,0.32413,0.14319,2.11938,2.61051,1.00634,0.021455,0.021455,0.021455
175,1730.97,1.28,0.57113,0.84211,0.4259,0.35653,0.30659,0.13451,2.09357,2.72762,1.00638,0.02129,0.02129,0.02129
176,1740.92,1.25574,0.55839,0.8406,0.53284,0.3252,0.35415,0.15839,2.13107,2.52611,1.00877,0.021125,0.021125,0.021125
177,1750.79,1.26101,0.57046,0.84009,0.4475,0.37035,0.35173,0.15734,2.12283,2.59824,1.01045,0.02096,0.02096,0.02096
178,1760.6,1.26225,0.56541,0.84239,0.48717,0.33735,0.34473,0.15009,2.1366,2.5951,1.01129,0.020795,0.020795,0.020795
179,1770.46,1.27319,0.56515,0.84368,0.4088,0.38201,0.34859,0.15506,2.09853,2.5023,0.99941,0.02063,0.02063,0.02063
180,1780.21,1.24046,0.55411,0.83415,0.46543,0.36219,0.35183,0.15997,2.08833,2.59852,1.00714,0.020465,0.020465,0.020465
181,1789.97,1.27536,0.57106,0.84088,0.45561,0.35293,0.33522,0.14537,2.09452,2.62119,1.00459,0.0203,0.0203,0.0203
182,1799.74,1.27169,0.56494,0.83615,0.45582,0.36188,0.33465,0.14208,2.11934,2.76093,1.0119,0.020135,0.020135,0.020135
183,1809.55,1.25678,0.55432,0.83758,0.43767,0.33833,0.32973,0.14431,2.10675,2.78856,1.00975,0.01997,0.01997,0.01997
184,1819.38,1.23201,0.55041,0.83615,0.39641,0.38642,0.31376,0.14041,2.14349,2.76118,1.01509,0.019805,0.019805,0.019805
185,1829.21,1.22452,0.55588,0.83341,0.52016,0.33141,0.33197,0.14753,2.11347,2.58321,1.0077,0.01964,0.01964,0.01964
186,1839.14,1.25765,0.56114,0.83283,0.39282,0.41471,0.34163,0.14928,2.09207,2.54979,1.00212,0.019475,0.019475,0.019475
187,1848.95,1.23035,0.55235,0.83977,0.50783,0.34838,0.34372,0.14925,2.09616,2.53101,1.0034,0.01931,0.01931,0.01931
